Code,CodePays,CodeVille,Latitude,Longitude,FuseauHoraire,DecalageUTC
ABQ,US,ABQ,Albuquerque,35.0406,-106.6094,America/Denver,-07:00
ABR,US,ABR,Aberdeen (US),45.4536,-98.4256,America/Chicago,-06:00
ABS,EG,ABS,Abu Simbel,22.3758,31.6117,Africa/Cairo,+02:00
ABT,SA,ABT,Al-Baha,20.2961,41.6342,Asia/Riyadh,+03:00
ABU,ID,ABU,Atambua,-9.075,124.9039,Asia/Makassar,+08:00
ABV,NG,ABV,Abuja,9.0067,7.2631,Africa/Lagos,+01:00
ABW,PG,ABW,Abau,-10.1667,148.7,Pacific/Port_Moresby,+10:00
ABX,AU,ABX,Albury,-36.0678,146.9581,Australia/Sydney,+10:00
ABY,US,ABY,Albany (US),31.5356,-84.1944,America/New_York,-05:00
ABZ,GB,ABZ,Aberdeen,57.2042,-2.2003,Europe/London,+00:00
ACA,MX,ACA,Acapulco,16.7569,-99.7539,America/Mexico_City,-06:00
ACC,GH,ACC,Accra,5.6053,-0.1667,Africa/Accra,+00:00
ACD,CO,ACD,Acandi,8.5167,-77.3,America/Bogota,-05:00
ACE,ES,ACE,Lanzarote,28.9456,-13.6053,Atlantic/Canary,+00:00
ACF,CN,ACF,Alaer Talimu,40.4494,81.2675,Asia/Shanghai,+08:00
ACH,CH,ACH,Altenrhein,47.485,9.5608,Europe/Zurich,+01:00
ACI,GB,ACI,Alderney,49.7069,-2.2156,Europe/London,+00:00
ACJ,LK,ACJ,Anuradhapura,8.3,80.4267,Asia/Colombo,+05:30
ACK,US,ACK,Nantucket,41.2531,-70.0603,America/New_York,-05:00
ACL,CO,ACL,Aguaclara,4.75,-73.0,America/Bogota,-05:00
ACM,CO,ACM,Arica,-2.1333,-71.7833,America/Bogota,-05:00
ACN,MX,ACN,Ciudad Acuna International,29.3331,-101.0992,America/Matamoros,-06:00
ACO,CH,ACO,Ascona,46.1594,8.7667,Europe/Zurich,+01:00
ACP,IR,ACP,Maragheh Sahand,37.3481,46.1331,Asia/Tehran,+03:30
ACR,CO,ACR,Araracuara,-0.6008,-72.3964,America/Bogota,-05:00
ACS,RU,ACS,Achinsk,56.2697,90.5719,Asia/Tomsk,+07:00
ACT,US,ACT,Waco,31.6114,-97.2306,America/Chicago,-06:00
ACU,PA,ACU,Achutupo,8.4333,-77.9667,America/Panama,-05:00
ACV,US,ACV,Arcata/Eureka,40.9781,-124.1086,America/Los_Angeles,-08:00
ACX,CN,ACX,Xingyi,25.0856,104.9594,Asia/Shanghai,+08:00
ACY,US,ACY,Atlantic City,39.4575,-74.5772,America/New_York,-05:00
ACZ,IR,ACZ,Zabol,31.0983,61.5439,Asia/Tehran,+03:30
ADA,TR,ADA,Adana,36.9822,35.2803,Europe/Istanbul,+03:00
ADB,TR,IZM,Izmir,38.2925,27.1569,Europe/Istanbul,+03:00
ADC,PG,ADC,Andakombe,-7.15,145.75,Pacific/Port_Moresby,+10:00
ADD,ET,ADD,Addis Abeba,8.9778,38.7994,Africa/Addis_Ababa,+03:00
ADE,YE,ADE,Aden International,12.8294,45.0289,Asia/Aden,+03:00
ADF,TR,ADF,Adiyaman,37.7314,38.4689,Europe/Istanbul,+03:00
ADG,US,ADG,Adrian,41.9,-84.0333,America/New_York,-05:00
ADH,RU,ADH,Aldan,58.6028,125.4067,Asia/Yakutsk,+09:00
ADI,Unk,ADI,Arandis,-22.4,15.0,Africa/Windhoek,+02:00
ADJ,JO,AMM,Amman - Civil,31.9728,35.9917,Asia/Amman,+03:00
ADK,US,ADK,Adak Island,51.8811,-176.6483,America/Adak,-10:00
ADL,AU,ADL,Adelaide,-34.945,138.5306,Australia/Adelaide,+09:30
ADM,US,ADM,Ardmore Municipal,34.3,-97.0167,America/Chicago,-06:00
ADN,CO,ADN,Andes,5.6667,-75.8833,America/Bogota,-05:00
ADO,AU,ADO,Andamooka,-30.4339,137.1372,Australia/Adelaide,+09:30
ADP,LK,ADP,Ampara,7.3375,81.6258,Asia/Colombo,+05:30
ADQ,US,ADQ,Kodiak,57.75,-152.4939,America/Anchorage,-09:00
ADR,US,ADR,Andrews,33.45,-79.5667,America/New_York,-05:00
ADS,US,DFW,Dallas/Fort Worth - Addison,32.9703,-96.8372,America/Chicago,-06:00
ADT,US,ADT,Ada,34.8,-96.6667,America/Chicago,-06:00
ADU,IR,ADU,Ardabil,38.3256,48.4242,Asia/Tehran,+03:30
ADV,SD,ADV,Andover,11.4022,26.1186,Africa/Khartoum,+02:00
ADW,US,ADW,Camp Springs Andrews,38.8089,-76.8708,America/New_York,-05:00
ADX,GB,ADX,St Andrews Raf Leuchars,56.3667,-2.8667,Europe/London,+00:00
ADY,ZA,ADY,Alldays,-22.6667,29.1,Africa/Johannesburg,+02:00
ADZ,CO,ADZ,San Andres,12.5836,-81.7111,America/Bogota,-05:00
AEA,KI,AEA,Abemama Atoll,0.4906,173.83,Pacific/Tarawa,+12:00
AEB,CN,AEB,Baise Youjiang,23.72,106.9603,Asia/Shanghai,+08:00
AEE,SS,AEE,Adareil,10.0611,32.9619,Africa/Juba,+02:00
AEG,ID,AEG,Aek Godang,1.4,99.43,Asia/Pontianak,+07:00
AEH,TD,AEH,Abecher,13.8475,20.8444,Africa/Ndjamena,+01:00
AEK,PG,AEK,Aseki,-7.3667,146.2833,Pacific/Port_Moresby,+10:00
AEL,US,AEL,Albert Lea,43.6833,-93.3667,America/Chicago,-06:00
AEM,RU,AEM,Amgu,45.8425,137.6778,Asia/Vladivostok,+10:00
AEO,MR,AEO,Aioun El Atrouss,16.7,-9.65,Africa/Nouakchott,+00:00
AEP,AR,BUE,Buenos Aires Aeroparque J. N.,-34.5589,-58.4164,America/Argentina/Buenos_Aires,-03:00
AER,RU,AER,Sochi,43.45,39.9567,Europe/Moscow,+03:00
AES,NO,AES,Aalesund,62.5603,6.1103,Europe/Oslo,+01:00
AET,US,AET,Allakaket,66.5506,-152.6319,America/Anchorage,-09:00
AEU,IR,AEU,Abu Musa Island,25.8756,55.0325,Asia/Tehran,+03:30
AEX,US,AEX,Alexandria-Intl.,31.3275,-92.5497,America/Chicago,-06:00
AEY,IS,AEY,Akureyri,65.6586,-18.0722,Atlantic/Reykjavik,+00:00
AFA,AR,AFA,San Rafael,-34.5886,-68.4028,America/Argentina/Buenos_Aires,-03:00
AFD,ZA,AFD,Port Alfred,-33.5833,26.8833,Africa/Johannesburg,+02:00
AFF,US,COS,Colorado Springs Usaf Academy Airfield,39.0,-104.75,America/Denver,-07:00
AFI,CO,AFI,Amalfi,6.9167,-75.0667,America/Bogota,-05:00
AFK,LK,ADP,Ampara Kondavattavan Tank Spb,7.2919,81.6353,Asia/Colombo,+05:30
AFL,BR,AFL,Alta Floresta,-9.8661,-56.1061,America/Porto_Velho,-04:00
AFN,US,AFN,Jaffrey,42.8056,-72.0033,America/New_York,-05:00
AFO,US,AFO,Afton,42.7167,-110.9333,America/Denver,-07:00
AFR,PG,AFR,Afore,-9.1333,148.3833,Pacific/Port_Moresby,+10:00
AFS,UZ,AFS,Zarafshan,41.6158,64.2331,Asia/Tashkent,+05:00
AFT,SB,AFT,Afutara,-9.1911,160.9492,Pacific/Guadalcanal,+11:00
AFW,US,FTW,Dallas/Fort Worth Alliance,32.9833,-97.3167,America/Chicago,-06:00
AFY,TR,AFY,Afyon,38.7333,30.6,Europe/Istanbul,+03:00
AFZ,IR,AFZ,Sabzevar,36.1686,57.5964,Asia/Tehran,+03:30
AGA,MA,AGA,Agadir,30.325,-9.4131,Africa/Casablanca,+01:00
AGB,DE,MUC,Augsbourg,48.4253,10.9317,Europe/Berlin,+01:00
AGC,US,PIT,Pittsburgh Allegheny,40.3544,-79.9297,America/New_York,-05:00
AGD,ID,AGD,Anggi,-1.3833,133.8667,Asia/Jayapura,+09:00
AGE,DE,AGE,Wangerooge,53.7872,7.9158,Europe/Berlin,+01:00
AGF,FR,AGF,Agen,44.1747,0.5906,Europe/Paris,+01:00
AGG,PG,AGG,Angoram,-4.0667,144.1,Pacific/Port_Moresby,+10:00
AGH,SE,AGH,Helsingborg - Angelholm,56.2961,12.8472,Europe/Stockholm,+01:00
AGI,SR,AGI,Wageningen,5.7667,-56.6833,America/Paramaribo,-03:00
AGJ,JP,AGJ,Aguni,26.5833,127.25,Asia/Tokyo,+09:00
AGK,PG,AGK,Kagua,-6.3333,143.8333,Pacific/Port_Moresby,+10:00
AGL,PG,AGL,Wanigela,-9.3333,149.15,Pacific/Port_Moresby,+10:00
AGN,US,AGN,Angoon,57.495,-134.5672,America/Anchorage,-09:00
AGO,US,AGO,Magnolia,33.2333,-93.2167,America/Chicago,-06:00
AGP,ES,AGP,Malaga,36.675,-4.4992,Europe/Madrid,+01:00
AGQ,GR,AGQ,Agrinion,38.6019,21.3511,Europe/Athens,+02:00
AGR,IN,AGR,Agra,27.1558,77.9608,Asia/Kolkata,+05:30
AGS,US,AGS,Augusta,33.37,-81.9644,America/New_York,-05:00
AGT,PY,AGT,Cuidad del Este,-25.4556,-54.8436,America/Asuncion,-04:00
AGU,MX,AGU,Aguascalientes,21.7056,-102.3178,America/Mexico_City,-06:00
AGV,VE,AGV,Acarigua,9.55,-69.2333,America/Caracas,-04:00
AGW,AU,AGW,Agnew,-12.15,142.15,Australia/Brisbane,+10:00
AGX,IN,AGX,Agatti Island,10.8236,72.1761,Asia/Kolkata,+05:30
AGZ,ZA,AGZ,Aggeneys,-29.2833,18.8167,Africa/Johannesburg,+02:00
AHB,SA,AHB,Abha,18.2403,42.6567,Asia/Riyadh,+03:00
AHC,US,AHC,Herlong,40.15,-120.1333,America/Los_Angeles,-08:00
AHD,US,ADM,Ardmore - Downtown,34.1667,-97.1333,America/Chicago,-06:00
AHE,PF,AHE,Ahe,-14.4281,-146.2569,Pacific/Tahiti,-10:00
AHF,US,AHF,Arapahoe,40.3333,-99.9,America/Chicago,-06:00
AHH,US,AHH,Amery,45.2833,-92.3667,America/Chicago,-06:00
AHI,ID,AHI,Amahai,-3.3333,128.9167,Asia/Jayapura,+09:00
AHJ,CN,AHJ,Aba Hongyuan,32.5314,102.3519,Asia/Shanghai,+08:00
AHL,GY,AHL,Aishalton,2.4833,-59.3167,America/Guyana,-04:00
AHM,US,AHM,Ashland Municipal,42.1903,-122.6606,America/Los_Angeles,-08:00
AHN,US,AHN,Athens,33.9494,-83.3219,America/New_York,-05:00
AHO,IT,AHO,Alghero,40.6303,8.2897,Europe/Rome,+01:00
AHS,HN,AHS,Ahuas,15.4417,-84.425,America/Tegucigalpa,-06:00
AHU,MA,AHU,Al Hoceima,35.1772,-3.8394,Africa/Casablanca,+01:00
AHW,OM,AHW,Saih Rawl,21.3428,56.7656,Asia/Muscat,+04:00
AHY,MG,AHY,Ambatolahy,-20.0167,45.5333,Indian/Antananarivo,+03:00
AHZ,FR,AHZ,Alpe DHuez,45.0883,6.0847,Europe/Paris,+01:00
AIA,US,AIA,Alliance,42.0519,-102.8078,America/Denver,-07:00
AIC,MH,AIC,Airok,7.2794,168.8258,Pacific/Majuro,+12:00
AIE,PG,AIE,Aiome,-5.1333,144.7333,Pacific/Port_Moresby,+10:00
AIG,CF,AIG,Yalinga,6.5167,23.25,Africa/Bangui,+01:00
AIH,PG,AIH,Aiambak,-7.3486,141.2667,Pacific/Port_Moresby,+10:00
AII,DJ,AII,Alisabieh,11.15,42.7167,Africa/Djibouti,+03:00
AIK,US,AIK,Aiken,33.6494,-81.6892,America/New_York,-05:00
AIL,PA,AIL,Ailigandi,9.2333,-78.0167,America/Panama,-05:00
AIM,MH,AIM,Ailuk Island,10.2169,169.9836,Pacific/Majuro,+12:00
AIN,US,AIN,Wainwright,70.6136,-159.8669,America/Anchorage,-09:00
AIO,US,AIO,Atlantic,41.4,-95.0167,America/Chicago,-06:00
AIR,BR,AIR,Aripuana,-10.1911,-59.4569,America/Porto_Velho,-04:00
AIS,KI,AIS,Arorae Island,-2.6164,176.8025,Pacific/Tarawa,+12:00
AIT,CK,AIT,Aitutaki,-18.8311,-159.7647,Pacific/Rarotonga,-10:00
AIU,CK,AIU,Atiu Island,-19.9667,-158.125,Pacific/Rarotonga,-10:00
AIV,US,AIV,Aliceville,33.1,-88.2,America/Chicago,-06:00
AIW,Unk,AIW,Ai-Ais,-27.9833,17.5833,Africa/Windhoek,+02:00
AIZ,US,AIZ,Kaiser/Lake Ozark - Fine Memorial,38.1,-92.55,America/Chicago,-06:00
AJA,FR,AJA,Ajaccio,41.9239,8.8025,Europe/Paris,+01:00
AJF,SA,AJF,Al-Jouf,29.785,40.1,Asia/Riyadh,+03:00
AJI,TR,AJI,Agri,39.6539,43.0264,Europe/Istanbul,+03:00
AJJ,MR,AJJ,Akjoujt,19.7333,-14.3833,Africa/Nouakchott,+00:00
AJK,IR,AJK,Araak,34.1381,49.8469,Asia/Tehran,+03:30
AJL,IN,AJL,Aizawl,23.8389,92.6203,Asia/Kolkata,+05:30
AJR,SE,AJR,Arvidsjaur,65.5903,19.2819,Europe/Stockholm,+01:00
AJS,MX,AJS,Abreojos,26.7333,-113.5833,America/Mazatlan,-07:00
AJU,BR,AJU,Aracaju,-10.9839,-37.0703,America/Araguaina,-03:00
AJY,NE,AJY,Agades,16.9625,7.9903,Africa/Niamey,+01:00
AKA,CN,AKA,Ankang Fuqiang,32.7078,108.9322,Asia/Shanghai,+08:00
AKB,US,AKB,Atka,52.2183,-174.2064,America/Adak,-10:00
AKC,US,CAK,Akron/Canton Akron Fulton Intl,41.0369,-81.4689,America/New_York,-05:00
AKD,IN,AKD,Akola,20.6667,77.0833,Asia/Kolkata,+05:30
AKE,GA,AKE,Akieni,-1.1722,13.9167,Africa/Libreville,+01:00
AKF,LY,AKF,Kufrah,24.1786,23.3139,Africa/Tripoli,+02:00
AKG,PG,AKG,Anguganak,-3.5833,142.25,Pacific/Port_Moresby,+10:00
AKH,SA,AKH,Al Kharj Prince Sultan Air Base,24.0633,47.5806,Asia/Riyadh,+03:00
AKI,US,AKI,Akiak,60.9017,-161.2322,America/Anchorage,-09:00
AKJ,JP,AKJ,Asahikawa,43.6708,142.4475,Asia/Tokyo,+09:00
AKK,US,AKK,Akhiok,56.9386,-154.1839,America/Anchorage,-09:00
AKL,NZ,AKL,Auckland,-37.0097,174.7917,Pacific/Auckland,+12:00
AKM,TD,AKM,Zakouma,10.8833,19.8167,Africa/Ndjamena,+01:00
AKN,US,AKN,King Salmon,58.6767,-156.6492,America/Anchorage,-09:00
AKO,US,AKO,Akron,40.1667,-103.2167,America/Denver,-07:00
AKP,US,AKP,Anaktuvuk Pass,68.1336,-151.7433,America/Anchorage,-09:00
AKQ,ID,AKQ,Astraksetra,-4.6167,105.2333,Asia/Pontianak,+07:00
AKR,NG,AKR,Akure,7.2486,5.3019,Africa/Lagos,+01:00
AKS,SB,AKS,Auki,-8.7025,160.6819,Pacific/Guadalcanal,+11:00
AKT,CY,AKT,Akrotiri,34.5906,32.9878,Asia/Nicosia,+02:00
AKU,CN,AKU,Aksu,41.2628,80.2919,Asia/Shanghai,+08:00
AKV,CA,AKV,Akulivik,60.8186,-78.1486,America/Toronto,-05:00
AKW,IR,AKW,Aghajari,30.75,49.6833,Asia/Tehran,+03:30
AKX,KZ,AKX,Aktobe,50.2458,57.2067,Asia/Qyzylorda,+05:00
AKY,MM,AKY,Sittwe,20.1328,92.8725,Asia/Yangon,+06:30
ALA,KZ,ALA,Almaty,43.3533,77.0422,Asia/Almaty,+06:00
ALB,US,ALB,Albany (US),42.7483,-73.8017,America/New_York,-05:00
ALC,ES,ALC,Alicante,38.2822,-0.5581,Europe/Madrid,+01:00
ALD,PE,ALD,Alerta,-11.7,-69.35,America/Lima,-05:00
ALE,US,ALE,Alpine,30.3861,-103.6833,America/Chicago,-06:00
ALF,NO,ALF,Alta,69.9761,23.3717,Europe/Oslo,+01:00
ALG,DZ,ALG,Alger,36.6942,3.2147,Africa/Algiers,+01:00
ALH,AU,ALH,Albany,-34.9433,117.8089,Australia/Perth,+08:00
ALI,US,ALI,Alice International,27.7392,-98.0269,America/Chicago,-06:00
ALJ,ZA,ALJ,Alexander Bay,-28.5667,16.5333,Africa/Johannesburg,+02:00
ALK,ET,ALK,Asela,7.9667,39.1167,Africa/Addis_Ababa,+03:00
ALL,IT,ALL,Albenga,44.0458,8.1256,Europe/Rome,+01:00
ALM,US,ALM,Alamogordo Municipal,32.84,-105.9906,America/Denver,-07:00
ALN,US,ALN,Alton,38.8917,-90.1722,America/Chicago,-06:00
ALO,US,ALO,Waterloo-Regional,42.5569,-92.4003,America/Chicago,-06:00
ALP,SY,ALP,Aleppo,36.1806,37.2244,Asia/Damascus,+03:00
ALQ,BR,ALQ,Alegrete,-29.8,-55.7333,America/Araguaina,-03:00
ALR,NZ,ALR,Alexandra,-45.2167,169.3667,Pacific/Auckland,+12:00
ALS,US,ALS,Alamosa,37.4375,-105.8664,America/Denver,-07:00
ALT,BR,ALT,Alenquer,-1.9389,-54.7472,America/Araguaina,-03:00
ALU,SO,ALU,Alula,11.9667,50.75,Africa/Mogadishu,+03:00
ALW,US,ALW,Walla Walla,46.095,-118.2878,America/Los_Angeles,-08:00
ALX,US,ALX,Alexander City,32.9333,-85.95,America/Chicago,-06:00
ALY,EG,ALY,Alexandrie,31.1839,29.9489,Africa/Cairo,+02:00
ALZ,US,ALZ,Alitak,56.8989,-154.2497,America/Anchorage,-09:00
AMA,US,AMA,Amarillo,35.2194,-101.7058,America/Chicago,-06:00
AMB,MG,AMB,Ambilobe,-13.1833,48.9833,Indian/Antananarivo,+03:00
AMC,TD,AMC,Am Timan,11.0333,20.2833,Africa/Ndjamena,+01:00
AMD,IN,AMD,Ahmedabad,23.0772,72.6347,Asia/Kolkata,+05:30
AME,MZ,AME,Alto Molocue,-15.65,37.6833,Africa/Maputo,+02:00
AMF,PG,AMF,Ama,-4.1667,141.6667,Pacific/Port_Moresby,+10:00
AMG,PG,AMG,Amboin,-4.6,143.5,Pacific/Port_Moresby,+10:00
AMH,ET,AMH,Arba Minch,6.0394,37.5906,Africa/Addis_Ababa,+03:00
AMI,ID,AMI,Mataram,-8.5608,116.0947,Asia/Makassar,+08:00
AMJ,BR,AMJ,Almenara,-16.1833,-40.6833,America/Araguaina,-03:00
AMK,US,DRO,Durango - Animas,37.1528,-107.7528,America/Denver,-07:00
AML,PA,AML,Puerto Armuellas,8.3,-82.8667,America/Panama,-05:00
AMM,JO,AMM,Amman,31.7225,35.9933,Asia/Amman,+03:00
AMN,US,AMN,Gratiot-Community,43.3833,-84.65,America/New_York,-05:00
AMO,TD,AMO,Mao,14.1167,15.3167,Africa/Ndjamena,+01:00
AMP,MG,AMP,Ampanihy,-24.7,44.7333,Indian/Antananarivo,+03:00
AMQ,ID,AMQ,Ambon,-3.7103,128.0892,Asia/Jayapura,+09:00
AMS,NL,AMS,Amsterdam,52.3081,4.7642,Europe/Amsterdam,+01:00
AMT,AU,AMT,Amata,-26.2,131.1167,Australia/Darwin,+09:30
AMU,PG,AMU,Amanab,-3.5833,141.2167,Pacific/Port_Moresby,+10:00
AMV,RU,AMV,Amderma,69.7608,61.5736,Europe/Moscow,+03:00
AMW,US,AMW,Ames,42.0,-93.6167,America/Chicago,-06:00
AMX,AU,AMX,Ammaroo,-21.74,135.24,Australia/Darwin,+09:30
AMY,MG,AMY,Ambatomainty,-17.6833,45.6667,Indian/Antananarivo,+03:00
AMZ,NZ,AMZ,Ardmore,-37.0333,174.9694,Pacific/Auckland,+12:00
ANA,KE,MRE,Anaheim,-1.2717,34.9553,Africa/Nairobi,+03:00
ANB,US,ANB,Anniston Municipal,33.5883,-85.8583,America/Chicago,-06:00
ANC,US,ANC,Anchorage,61.1744,-149.9964,America/Anchorage,-09:00
ANE,FR,ANE,Angers Marce,47.5603,-0.3122,Europe/Paris,+01:00
ANF,CL,ANF,Antofagasta,-23.4444,-70.445,America/Santiago,-04:00
ANG,FR,ANG,Angouleme,45.7294,0.2192,Europe/Paris,+01:00
ANI,US,ANI,Aniak,61.5822,-159.5442,America/Anchorage,-09:00
ANJ,CG,ANJ,Zanaga,-2.85,13.8333,Africa/Brazzaville,+01:00
ANK,TR,ANK,Ankara - Etimesgut,39.9528,32.6861,Europe/Istanbul,+03:00
ANL,AO,ANL,Andulo,-11.5,16.75,Africa/Luanda,+01:00
ANM,MG,ANM,Antalaha,-14.9994,50.3203,Indian/Antananarivo,+03:00
ANN,US,ANN,Annette Island,55.0333,-131.5667,America/Anchorage,-09:00
ANO,MZ,ANO,Angoche,-16.1667,39.9333,Africa/Maputo,+02:00
ANP,US,ANP,Annapolis,38.9833,-76.5,America/New_York,-05:00
ANQ,US,ANQ,Angola,41.6333,-85.0,America/New_York,-05:00
ANR,BE,ANR,Antwerp-Brussels North,51.1894,4.4603,Europe/Brussels,+01:00
ANS,PE,ANS,Andahuaylas,-13.7064,-73.3503,America/Lima,-05:00
ANU,AG,ANU,Antigua,17.1367,-61.7928,America/Antigua,-04:00
ANV,US,ANV,Anvik,62.6492,-160.1897,America/Anchorage,-09:00
ANW,US,ANW,Ainsworth,42.5833,-99.9833,America/Chicago,-06:00
ANX,NO,ANX,Andenes,69.2925,16.1442,Europe/Oslo,+01:00
ANY,US,ANY,Anthony,37.15,-98.0333,America/Chicago,-06:00
ANZ,AU,ANZ,Angus Downs,-25.0833,132.1667,Australia/Darwin,+09:30
AOA,PG,AOA,Aroa,-9.0333,146.75,Pacific/Port_Moresby,+10:00
AOB,PG,AOB,Annanberg,-4.9167,144.6667,Pacific/Port_Moresby,+10:00
AOC,DE,AOC,Altenburg,50.9819,12.5064,Europe/Berlin,+01:00
AOD,TD,AOD,Abou Deia,11.4667,19.2833,Africa/Ndjamena,+01:00
AOE,TR,ESK,Eskisehir Anadolu,39.81,30.5169,Europe/Istanbul,+03:00
AOG,CN,AOG,Anshan,41.1056,122.8561,Asia/Shanghai,+08:00
AOH,US,AOH,Lima-Allen,40.7167,-84.0333,America/New_York,-05:00
AOI,IT,AOI,Ancona,43.6167,13.3603,Europe/Rome,+01:00
AOJ,JP,AOJ,Aomorica,40.7347,140.6908,Asia/Tokyo,+09:00
AOK,GR,AOK,Carpathes,35.4214,27.1461,Europe/Athens,+02:00
AOL,AR,AOL,Paso de los Libres,-29.6833,-57.15,America/Argentina/Buenos_Aires,-03:00
AOM,OM,AOM,Adam,22.4972,57.3833,Asia/Muscat,+04:00
AON,PG,AON,Arona,-6.25,145.9667,Pacific/Port_Moresby,+10:00
AOO,US,AOO,Altoona,40.2964,-78.32,America/New_York,-05:00
AOP,PE,AOP,Andoas Alfredo V. Sara Bauer,-2.7914,-76.4747,America/Lima,-05:00
AOR,MY,AOR,Alor Setar,6.1944,100.4008,Asia/Kuching,+08:00
AOS,US,AOS,Amook,57.4711,-153.8156,America/Anchorage,-09:00
AOT,IT,AOT,Aosta,45.7386,7.3681,Europe/Rome,+01:00
AOU,LA,AOU,Attopeu,14.82,106.8206,Asia/Vientiane,+07:00
APA,US,DEN,Denver - Arapahoe County,39.5719,-104.8511,America/Denver,-07:00
APB,BO,APB,Apolo,-14.7167,-68.5,America/La_Paz,-04:00
APC,US,APC,Napa,38.2133,-122.28,America/Los_Angeles,-08:00
APF,US,APF,Naples-Municipal,26.1533,-81.7753,America/New_York,-05:00
APG,US,APG,Aberdeen Phillips Army Air Field,39.5167,-76.1667,America/New_York,-05:00
API,CO,API,Apiay,4.0761,-73.5628,America/Bogota,-05:00
APK,PF,APK,Apataki,-15.5736,-146.4153,Pacific/Tahiti,-10:00
APL,MZ,APL,Nampula,-15.1056,39.2817,Africa/Maputo,+02:00
APN,US,APN,Alpena,45.0781,-83.5603,America/New_York,-05:00
APO,CO,APO,Apartado,7.8125,-76.7167,America/Bogota,-05:00
APP,PG,APP,Asapa,-8.9833,148.1333,Pacific/Port_Moresby,+10:00
APQ,BR,APQ,Arapiraca,-9.75,-36.65,America/Araguaina,-03:00
APR,PG,APR,April River,-4.6769,142.5397,Pacific/Port_Moresby,+10:00
APS,BR,APS,Anapolis,-16.3628,-48.9275,America/Araguaina,-03:00
APU,BR,APU,Apucarana,-23.55,-51.4833,America/Araguaina,-03:00
APV,US,APV,Apple Valley,34.5783,-117.1867,America/Los_Angeles,-08:00
APW,WS,APW,Apia Faleolo,-13.8297,-171.9972,Pacific/Apia,+13:00
